Date,Time Stamp,Temperature,Relative Humidity,Current Lux,Cumulative Lux Hours,Series 1,Series 2,Series 3,LED01,LED02,LED03,LED04,LED05,LED06,LED07,LED08,LED09,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17
Dec-06-2021,07:51:10.934741,16.19089036392767,33.26924544136721,514.4,1616.7999999999997,Down,Up,Down,"['0', '0', '1', '1', '0', '0', '1', '1', '1', '1', '1', '1', '0', '1', '1', '0', '1']"
Dec-06-2021,07:56:56.957034,15.891279468986038,33.61104753185321,402.40000000000003,402.40000000000003,Down,Up,Up,"['0', '0', '1', '1', '0', '0', '1', '1', '0', '1', '0', '1', '0', '0', '0', '0', '0']"
Dec-06-2021,07:57:11.351587,16.01464866102083,33.632410162508585,564.0,966.4000000000001,Down,Down,Up,"['0', '0', '1', '1', '0', '0', '1', '1', '0', '1', '0', '1', '0', '0', '0', '0', '0']"
Dec-06-2021,07:57:25.746095,15.97436484321355,33.74990463111315,566.4,1532.8000000000002,Down,Down,Up,"['0', '0', '1', '1', '0', '0', '1', '1', '0', '1', '1', '1', '0', '0', '1', '0', '0']"
Dec-06-2021,07:57:39.818715,0.0,0.0,0.0,1532.8000000000002,Down,Down,Down,"['0', '0', '1', '1', '0', '0', '1', '1', '1', '0', '1', '1', '0', '1', '1', '1', '0']"
Dec-06-2021,07:57:53.900353,0.0,0.0,0.0,1532.8000000000002,Down,Down,Down,"['0', '0', '1', '1', '0', '0', '1', '1', '1', '0', '1', '1', '0', '1', '1', '1', '0']"
Dec-06-2021,07:58:08.296077,16.578622110322726,39.07682917524987,860.8000000000001,2393.6000000000004,Down,Down,Up,"['0', '0', '1', '1', '0', '0', '1', '0', '1', '1', '1', '1', '0', '0', '1', '1', '0']"
Dec-06-2021,07:58:23.319555,16.100251773861295,33.80788891432059,414.40000000000003,2808.0000000000005,Up,Up,Up,"['0', '0', '1', '1', '0', '0', '1', '1', '1', '1', '1', '0', '0', '0', '0', '0', '0']"
Dec-06-2021,07:58:38.345960,16.34447241931792,33.32417792019531,415.2,3223.2000000000003,Up,Up,Up,"['0', '0', '1', '1', '0', '0', '1', '1', '1', '1', '1', '0', '0', '0', '0', '0', '0']"
Dec-06-2021,08:01:24.940841,16.012130922407874,33.430991073472185,415.2,415.2,Up,Up,Up,"['0', '0', '1', '1', '0', '0', '1', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0']"
